nohup: ignoring input
[2025-05-17 18:43:11 +0800] [3576] [INFO] Starting gunicorn 21.2.0
[2025-05-17 18:43:11 +0800] [3576] [INFO] Listening at: http://0.0.0.0:5000 (3576)
[2025-05-17 18:43:11 +0800] [3576] [INFO] Using worker: gevent
[2025-05-17 18:43:11 +0800] [3577] [INFO] Booting worker with pid: 3577
2025-05-17 18:43:13,583 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for teacher
2025-05-17 18:43:13,583 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_teacher for teacher
2025-05-17 18:43:13,584 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for student
2025-05-17 18:43:13,584 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for teacher
2025-05-17 18:43:13,584 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_students_by_course for teacher
2025-05-17 18:43:13,584 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_assignment_questions for teacher
2025-05-17 18:43:13,584 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_question_options for teacher
2025-05-17 18:43:13,584 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_responses for teacher
2025-05-17 18:43:13,584 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_question_response for teacher
2025-05-17 18:43:13,584 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_assignment for teacher
2025-05-17 18:43:13,585 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for student
2025-05-17 18:43:13,585 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for teacher
2025-05-17 18:43:13,585 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_course_assignments for teacher
2025-05-17 18:43:13,712 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for student
2025-05-17 18:43:13,712 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for teacher
2025-05-17 18:43:13,712 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_teacher for teacher
2025-05-17 18:43:13,712 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for student
2025-05-17 18:43:13,713 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for teacher
2025-05-17 18:43:13,713 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_students_by_course for teacher
2025-05-17 18:43:13,713 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_assignment_questions for teacher
2025-05-17 18:43:13,713 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_question_options for teacher
2025-05-17 18:43:13,713 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_responses for teacher
2025-05-17 18:43:13,713 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_question_response for teacher
2025-05-17 18:43:13,713 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_assignment for teacher
2025-05-17 18:43:13,714 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for student
2025-05-17 18:43:13,714 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for teacher
2025-05-17 18:43:13,714 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_course_assignments for teacher
2025-05-17 18:43:13,761 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for student
2025-05-17 18:43:13,761 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for teacher
2025-05-17 18:43:13,761 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_teacher for teacher
2025-05-17 18:43:13,761 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for student
2025-05-17 18:43:13,761 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for teacher
2025-05-17 18:43:13,761 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_students_by_course for teacher
2025-05-17 18:43:13,762 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_assignment_questions for teacher
2025-05-17 18:43:13,762 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_question_options for teacher
2025-05-17 18:43:13,762 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_responses for teacher
2025-05-17 18:43:13,762 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_question_response for teacher
2025-05-17 18:43:13,762 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_assignment for teacher
2025-05-17 18:43:13,762 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for student
2025-05-17 18:43:13,762 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for teacher
2025-05-17 18:43:13,762 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_course_assignments for teacher
2025-05-17 18:43:13,778 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for student
2025-05-17 18:43:13,778 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for teacher
2025-05-17 18:43:13,778 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for student
2025-05-17 18:43:13,779 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for teacher
2025-05-17 18:43:13,779 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for student
2025-05-17 18:43:13,779 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for teacher
2025-05-17 18:43:13,810 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for student
2025-05-17 18:43:13,810 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for teacher
2025-05-17 18:43:13,810 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_teacher for teacher
2025-05-17 18:43:13,811 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for student
2025-05-17 18:43:13,811 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for teacher
2025-05-17 18:43:13,811 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_students_by_course for teacher
2025-05-17 18:43:13,811 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_assignment_questions for teacher
2025-05-17 18:43:13,811 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_question_options for teacher
2025-05-17 18:43:13,811 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_responses for teacher
2025-05-17 18:43:13,811 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_question_response for teacher
2025-05-17 18:43:13,812 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_assignment for teacher
2025-05-17 18:43:13,812 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for student
2025-05-17 18:43:13,812 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for teacher
2025-05-17 18:43:13,812 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_course_assignments for teacher
2025-05-17 18:43:13,852 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for student
2025-05-17 18:43:13,852 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for teacher
2025-05-17 18:43:13,853 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for student
2025-05-17 18:43:13,853 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for teacher
2025-05-17 18:43:13,853 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for student
2025-05-17 18:43:13,853 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for teacher
2025-05-17 18:43:13,874 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for student
2025-05-17 18:43:13,874 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for teacher
2025-05-17 18:43:13,874 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_teacher for teacher
2025-05-17 18:43:13,874 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for student
2025-05-17 18:43:13,874 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for teacher
2025-05-17 18:43:13,874 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_students_by_course for teacher
2025-05-17 18:43:13,874 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_assignment_questions for teacher
2025-05-17 18:43:13,875 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_question_options for teacher
2025-05-17 18:43:13,875 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_responses for teacher
2025-05-17 18:43:13,878 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for student
2025-05-17 18:43:13,878 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_all_courses for teacher
2025-05-17 18:43:13,878 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_teacher for teacher
2025-05-17 18:43:13,878 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for student
2025-05-17 18:43:13,878 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_courses_by_student for teacher
2025-05-17 18:43:13,878 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_students_by_course for teacher
2025-05-17 18:43:13,891 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_question_response for teacher
2025-05-17 18:43:13,891 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_assignment for teacher
2025-05-17 18:43:13,891 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for student
2025-05-17 18:43:13,891 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for teacher
2025-05-17 18:43:13,891 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_course_assignments for teacher
2025-05-17 18:43:13,879 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_assignment_questions for teacher
2025-05-17 18:43:13,893 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_question_options for teacher
2025-05-17 18:43:13,893 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_responses for teacher
2025-05-17 18:43:13,894 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_question_response for teacher
2025-05-17 18:43:13,894 [INFO] [tools_register] [/react/tools_register.py]: tool registered: grade_assignment for teacher
2025-05-17 18:43:13,894 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for student
2025-05-17 18:43:13,894 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_assignments for teacher
2025-05-17 18:43:13,894 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_course_assignments for teacher
2025-05-17 18:43:13,966 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for student
2025-05-17 18:43:13,967 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for teacher
2025-05-17 18:43:13,967 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for student
2025-05-17 18:43:13,967 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for teacher
2025-05-17 18:43:13,967 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for student
2025-05-17 18:43:13,967 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for teacher
2025-05-17 18:43:14,100 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for student
2025-05-17 18:43:14,100 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for teacher
2025-05-17 18:43:14,100 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for student
2025-05-17 18:43:14,100 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for teacher
2025-05-17 18:43:14,100 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for student
2025-05-17 18:43:14,100 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for teacher
2025-05-17 18:43:14,154 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for student
2025-05-17 18:43:14,154 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for teacher
2025-05-17 18:43:14,154 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for student
2025-05-17 18:43:14,154 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_activity_summary for teacher
2025-05-17 18:43:14,155 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for student
2025-05-17 18:43:14,155 [INFO] [tools_register] [/react/tools_register.py]: tool registered: detect_learning_issues for teacher
2025-05-17 18:43:14,156 [INFO] [tools_register] [/react/tools_register.py]: tool registered: get_student_knowledge_mastery for student
